Name Group,No,Original Arabic,Translation Urdu,Translation Gujarati,Transliteration En,Translation En
Forgiveness & Mercy Name,1,الرَّحْمٰنُ,رحم کرنے والا,દયાવાન,Ar-Rehmaan,The Entirely Merciful
Forgiveness & Mercy Name,2,الرَّحِيمُ,مہربان,કૃપાળુ,Ar-Raheem,The Especially Merciful
Forgiveness & Mercy Name,3,الْعَفُوُّ,معاف کرنے والا,માફ કરનાર,Al-Afuww,The Supreme Pardoner
Forgiveness & Mercy Name,4,الْغَفُورُ,بخشنے والا,ક્ષમાશીલ,Al-Ghafoor,The Great Forgiver
Forgiveness & Mercy Name,5,الْغَفَّارُ,بخشنے والا گناہ,સતત ક્ષમાકર્તા,Al-Ghaffaar,The Constant Forgiver
Forgiveness & Mercy Name,6,التَّوَّابُ,توبہ قبول کرنے والا,તોબો સ્વીકારનાર,At-Tawwaab,The Ever-Acceptor of Repentance
Power Name,7,الضَّارُّ,نقصان پہنچانے والا,નુકસાન પહોંચાડનાર,Ad-Dhaarr,The Distressor
Power Name,8,الْجَبَّارُ,سب پر زورآور,સર્વશક્તિમાન,Al-Jabbaar,The Compeller
Power Name,9,الْقَادِرُ,قدرت والا,સમર્થ,Al-Qaadir,"The All-Powerful, The Omnipotent"
Power Name,10,الْمُقْتَدِرُ,بڑی قدرت کے مالک,મહાન શક્તિશાળી,Al-Muqtadir,The Creator of All Power
Power Name,11,الْقَوِيُّ,بہت قوت والا,બળશાળી,Al-Qawiyy,The All-Strong
Power Name,12,الْمَتِينُ,مضبوط,મજબૂત,Al-Mateen,The Firm One
Power Name,13,الْقَهَّارُ,سب پر غالب,સર્વોપરી,Al-Qahhar,The Subduer
Power Name,14,الْمُنْتَقِمُ,بدلہ لینے والا,બદલો લેનાર,Al-Muntaqim,The Avenger
Kindness & Generosity Names,15,الرَّؤُوفُ,نرمی کرنے والا,દયાળુ,Ar-Ra'uuf,The Most Kind
Kindness & Generosity Names,16,الْكَرِيمُ,کرامت والا,કરીમ,Al-Kareem,The Most Generous
Kindness & Generosity Names,17,الْحَلِيمُ,حلم والا,ધૈર્યવાન,Al-Haleem,The Most Forbearing
Kindness & Generosity Names,18,الْوَدُودُ,محبت کرنے والا,પ્રેમાળ,Al-Wadood,The Most Loving
Kindness & Generosity Names,19,الشَّكُورُ,قدردان,કૃતજ્ઞ,Ash-Shakoor,The Most Appreciative
Kindness & Generosity Names,20,اللَّطِيفُ,باریک بین کرم والا,સૂક્ષ્મદર્શી,Al-Lateef,"The Most Gentle, The Subtle One"
Kindness & Generosity Names,21,الصَّبُورُ,بہت صبر کرنے والا,ધૈર્યશીલ,As-Saboor,The Most Patient
Guide Name,22,الْهَادِي,ہدایت دینے والا,માર્ગદર્શક,Al-Haadi,The Guide
Guide Name,23,الرَّشِيدُ,ہدایت دینے والا,સુપથદર્શક,Ar-Rasheed,"The Guide, The Infallible Teacher"
Guide Name,24,الْمُهَيْمِنُ,کریگران,સંરક્ષક,Al-Muhaimin,"The Guardian, The Overseer"
Guide Name,25,الْوَلِيُّ,مددگار,મિત્ર,Al-Waliyy,The Protective Friend
Guide Name,26,الْوَالِي,حکمران,શાસક,Al-Waali,The Sole Governor
Guide Name,27,الْحَكِيمُ,بڑی حکمت والا,જ્ઞાની,Al-Hakeem,The Most Wise
Honor & Glory Name,28,ذُو الْجَلَالِ وَالْإِكْرَامِ,عظمت اور عزت والا کرامیں,મહિમા અને સન્માનવાળા,Dhul-Jalaal-wal-Ikraam,Lord of Majesty & Generosity
Honor & Glory Name,29,مَالِكُ الْمُلْكِ,سلطنت کا مالک,રાજ્યનો માલિક,Maalik-ul-Mulk,The Owner of the Kingdom
Honor & Glory Name,30,الْعَظِيمُ,عظمت والا,મહાન,Al-Azeem,"The Magnificent, The Infinite"
Honor & Glory Name,31,الْعَزِيزُ,زبردست,પરાક્રમી,Al-Azeez,The Almighty
Honor & Glory Name,32,الْجَلِيلُ,بزرگ شان والا,ગૌરવશાળી,Al-Jaleel,The Majestic
Honor & Glory Name,33,الْحَمِيدُ,تعریف کے لائق,પ્રશંસનીય,Al-Hameed,The Praiseworthy
Honor & Glory Name,34,الْمَجِيدُ,بزرگ,મહિમાવાન,Al-Majeed,The Glorious
Honor & Glory Name,35,الْمَلِكُ,حقیقی بادشاہ,રાજા,Al-Maalik,The Owner of the Dominion
Honor & Glory Name,36,الْمُذِلُّ,ذلت دینے والا,અપમાન આપનાર,Al-Mudhill,The Giver of Dishonor
Honor & Glory Name,37,الْمُعِزُّ,عزت دینے والا,સન્માન આપનાર,Al-Muizz,The Giver of Honor
Source Name,38,الْمَاجِدُ,عزت دار,સન્માનિત,Al-Maajid,The Source of All Honor
Source Name,39,الْقُدُّوسُ,پاک ذات,પવિત્ર,Al-Quddus,The Absolutely Pure
Source Name,40,الْمُؤْمِنُ,امن دینے والا,શાંતિ આપનાર,Al-Mumin,The One who Gives Iman
Source Name,41,الْبَرُّ,احسان کرنے والا,ઉપકારક,Al-Baarr,The Source of All Goodness
Source Name,42,النُّورُ,نور ہدایت بخش,પ્રકાશ,An-Nur,"The Light, The Illuminator"
Source Name,43,السَّلَامُ,سلامتی والا,શાંતિવાળા,As-Salaam,The Source of Peace & Security
Creationary Name,44,الْخَالِقُ,پیدا کرنے والا,સર્જનહાર,Al-Khaliq,"The Creator, The Maker"
Creationary Name,45,الْبَارِئُ,تخلیق کرنے والا,નિર્માતા,Al-Baari,The Evolver
Creationary Name,46,الْبَدِيعُ,بدیع,અનુપમ સર્જક,Al-Badi,The Incomparable Originator
Creationary Name,47,الْمُبْدِئُ,ابتدا کرنے والا,આરંભકર્તા,Al-Mubdi,"The Initiator, The Originator"
Creationary Name,48,الْمُصَوِّرُ,صورت بنانے والا,આકાર આપનાર,Al-Musawwir,The Fashioner
Creationary Name,49,الْبَاعِثُ,اٹھانے والا,પુનરુત્થાનકર્તા,Al-Ba'ith,The Infuser of New Life
Creationary Name,50,الْمُمِيتُ,موت دینے والا,મૃત્યુ આપનાર,Al-Mumeet,The Creator of Death
Creationary Name,51,الْمُحْيِي,زندہ کرنے والا,જીવન આપનાર,Al-Muhyi,The Giver of Life
Creationary Name,52,الْمُعِيدُ,دوبارہ کرنے والا,પુનરાવર્તક,Al-Mu'id,The Restorer
Creationary Name,53,الْحَيُّ,زندہ,જીવંત,Al-Hayy,The Ever-Living
Creationary Name,54,الْقَيُّومُ,قائم رہنے والا,સ્વયંભૂ,Al-Qayyuum,The Self-Subsisting
High Status Name,55,الْعَلِيُّ,بلند,ઉચ્ચ,Al-Ali,"The Most High, The Exalted"
High Status Name,56,الْكَبِيرُ,بڑا,મહાન,Al-Kabeer,The Most Great
High Status Name,57,الْمُتَعَالِي,بلند مرتبہ,ઉન્નત,Al-Muta'ali,The Self-Exalted
High Status Name,58,الْمُتَكَبِّرُ,بڑی شان والا,ગર્વિત,Al-Muta'kabbir,The Supreme
High Status Name,59,الْوَاسِعُ,وسعت والا,વિશાળ,Al-Waasi,"The Boundless, The All-Encompassing"
Giver/Restrictor Name,60,الْوَهَّابُ,بہت دینے والا,દાતા,Al-Wahhab,The Supreme Bestower
Giver/Restrictor Name,61,الرَّزَّاقُ,رزق دینے والا روزی,રોજીરોટી આપનાર,Ar-Razzaq,The Provider
Giver/Restrictor Name,62,الْقَابِضُ,روزی تنگ کرنے والا,સંકુચિત કરનાર,Al-Khabidh,The Withholder
Giver/Restrictor Name,63,الْمُقِيتُ,قدرت والا,પોષક,Al-Muqeet,The Sustainer
Giver/Restrictor Name,64,الْبَاسِطُ,روزی فراخ کرنے والا,વિસ્તારક,Al-Baasit,The Extender
Giver/Restrictor Name,65,الْخَافِضُ,پست کرنے والا,નીચે કરનાર,Al-Khafidh,The Abaser
Giver/Restrictor Name,66,الرَّافِعُ,بلند کرنے والا,ઉંચે કરનાર,Ar-Rafiyy,The Exalter
Giver/Restrictor Name,67,الْمَانِعُ,روکنے والا,અવરોધક,Al-Maani,The Withholder
Giver/Restrictor Name,68,الْغَنِيُّ,بے نیاز,સ્વયંપૂર્ણ,Al-Ghaniyy,"The Self-Sufficient, The Wealthy"
Giver/Restrictor Name,69,الْمُغْنِي,بے نیاز کرنے والا,સમૃદ્ધિ આપનાર,Al-Mughni,The Enricher
Giver/Restrictor Name,70,النَّافِعُ,فائدہ پہنچانے والا,ફાયદાકારક,An-Naafi,"The Benefactor, The Propitious"
Active Role Name,71,الْحَفِيظُ,حفاظت کرنے والا,રક્ષક,Al-Hafidh,The Preserver
Active Role Name,72,السَّمِيعُ,سب کچھ سننے والا,સર્વશ્રોતા,As-Samee,The All-Hearing
Active Role Name,73,الْبَصِيرُ,سب کچھ دیکھنے والا,સર્વદ્રષ્ટા,Al-Baseer,The All-Seeing
Active Role Name,74,الرَّقِيبُ,نگہبان,રખેવાળ,Ar-Raqeeb,The Ever-Present
Active Role Name,75,الْمُجِيبُ,دعا قبول کرنے والا,પ્રાર્થના સ્વીકારનાર,Al-Mujeeb,The Responsive One
Active Role Name,76,الشَّهِيدُ,ہر جگہ حاضر,સાક્ષી,Ash-Shaheed,The All-and-Ever Witnessing
Active Role Name,77,الْوَاجِدُ,بے پرواہ,શોધનાર,Al-Waajid,The Perceiver
Active Role Name,78,الْعَلِيمُ,بہت علم والا,સર્વજ્ઞ,Al-Aleem,The All-Knowing
Active Role Name,79,الْخَبِيرُ,باخبر,જાણકાર,Al-Khabeer,The All-Aware
Active Role Name,80,الظَّاهِرُ,ظاہر,પ્રગટ,Az-Zaahir,The Manifest
Active Role Name,81,الْبَاطِنُ,چھپا ہوا,છુપાયેલા,Al-Baatin,"The Hidden, Knower of the Hidden"
Legal/Accounting Name,82,الْعَدْلُ,انصاف کرنے والا,ન્યાયી,Al-Adl,The Utterly Just
Legal/Accounting Name,83,الْحَكَمُ,فیصلہ کرنے والا,ન્યાયાધીશ,Al-Hakam,The Impartial Judge
Legal/Accounting Name,84,الْحَقُّ,برحق,સત્ય,Al-Haqq,The Absolute Truth
Legal/Accounting Name,85,الْوَكِيلُ,کارساز,વકીલ,Al-Wakeel,"The Trustee, The Disposer of Affairs"
Legal/Accounting Name,86,الْحَسِيبُ,حساب لینے والا,હિસાબ લેનાર,Al-Haseeb,The Reckoner
Legal/Accounting Name,87,الْمُقْسِطُ,انصاف کرنے والا,ન્યાયકર્તા,Al-Muqsit,The Just One
Legal/Accounting Name,88,الْمُحْصِي,شمار کرنے والا,ગણતરી કરનાર,Al-Muhsee,"The All-Enumerating, The Counter"
Legal/Accounting Name,89,الْوَارِثُ,وارث,વારસદાર,Al-Waarith,The Inheritor
Unique Name,90,الْأَحَدُ,یکتا,એક,Al-Ahad,"The Absolute, The Indivisible"
Unique Name,91,الْوَاحِدُ,ایک,અદ્વિતીય,Al-Waahid,The One
Unique Name,92,الصَّمَدُ,بے نیاز,નિરપેક્ષ,As-Samad,"The Self-Sufficient, The Impregnable"
Unique Name,93,الْفَتَّاحُ,فیصلہ کرنے والا,ખોલનાર,Al-Fattah,The Supreme Opener
Unique Name,94,الْأَوَّلُ,سب سے پہلے,પ્રથમ,Al-Awwal,The First
Unique Name,95,الْآخِرُ,سب سے آخر,અંતિમ,Al-Aakhir,The Last
Unique Name,96,الْمُؤَخِّرُ,پیچھے کرنے والا,વિલંબ કરનાર,Al-Mua'khkhir,The Delayer
Unique Name,97,الْمُقَدِّمُ,آگے بڑھانے والا,આગળ વધારનાર,Al-Muqaddim,The Expediter
Unique Name,98,الْبَاقِي,ہمیشہ باقی رہنے والا,શાશ્વત,Al-Baaqi,The Ever-Lasting
Unique Name,99,الْجَامِعُ,جمع کرنے والا,એકત્રિત કરનાર,Al-Jamiyy,"The Gatherer, The Uniter"
